tasks,labels
"Read current literature, attend meetings or conferences, or talk with colleagues to stay abreast of industry research about new technologies.",3
Document equipment or process details of radio frequency identification device (RFID) technology.,3
Define and compare possible radio frequency identification device (RFID) solutions to inform selection for specific projects.,3
Create simulations or models of radio frequency identification device (RFID) systems to provide information for selection and configuration.,3
Analyze radio frequency identification device (RFID)-related supply chain data.,3
"Design, or supervise the design of, systems, processes, or equipment for control, management, or remediation of water, air, or soil quality.",3
Advise corporations or government agencies of procedures to follow in cleaning up contaminated sites to protect people and the environment.,3
"Collaborate with environmental scientists, planners, hazardous waste technicians, engineers, experts in law or business, or other specialists to address environmental problems.",3
"Obtain, update, or maintain plans, permits, or standard operating procedures.",3
"Serve as liaison with federal, state, or local agencies or officials on issues pertaining to solid or hazardous waste program requirements.",3
"Provide technical support for environmental remediation or litigation projects, including remediation system design or determination of regulatory applicability.",3
"Prepare, review, or update environmental investigation or recommendation reports.",3
"Develop site-specific health and safety protocols, such as spill contingency plans or methods for loading or transporting waste.",3
Inspect industrial or municipal facilities or programs to evaluate operational effectiveness or ensure compliance with environmental regulations.,3
"Provide assistance with planning, quality assurance, safety inspection protocols, or sampling as part of a team conducting multimedia inspections at complex facilities.",3
Prepare or present public briefings on the status of environmental engineering projects.,3
Develop proposed project objectives and targets and report to management on progress in attaining them.,3
"Coordinate or manage environmental protection programs or projects, assigning or evaluating work.",3
Advise industries or government agencies about environmental policies and standards.,3
Direct installation or operation of environmental monitoring devices or supervise related data collection programs.,3
Monitor progress of environmental improvement programs.,3
Prepare hazardous waste manifests or land disposal restriction notifications.,3
"Assess the existing or potential environmental impact of land use projects on air, water, or land.",3
"Prepare, maintain, or revise quality assurance documentation or procedures.",3
"Assist in budget implementation, forecasts, or administration.",3
"Provide environmental engineering assistance in network analysis, regulatory analysis, or planning or reviewing database development.",3
Inform company employees or other interested parties of environmental issues.,3
Develop or present environmental compliance training or orientation sessions.,3
"Provide administrative support for projects by collecting data, providing project documentation, training staff, or performing other general administrative duties.",3
"Assess, sort, characterize, or pack known or unknown materials.",3
Request bids from suppliers or consultants.,3
"Develop, implement, or manage plans or programs related to conservation or management of natural resources.",3
Write reports or articles for Web sites or newsletters related to environmental engineering issues.,3
"Provide technical direction or supervision to junior engineers, engineering or computer-aided design (CAD) technicians, or other technical personnel.",3
"Conduct feasibility studies for the construction of facilities, such as water supply systems, runoff collection networks, water and wastewater treatment plants, or wastewater collection systems.",3
"Design pumping systems, pumping stations, pipelines, force mains, or sewers for the collection of wastewater.",3
"Design domestic or industrial water or wastewater treatment plants, including advanced facilities with sequencing batch reactors (SBR), membranes, lift stations, headworks, surge overflow basins, ultraviolet disinfection systems, aerobic digesters, sludge lagoons, or control buildings.",3
"Analyze storm water or floodplain drainage systems to control erosion, stabilize river banks, repair channel streams, or design bridges.",3
Design water distribution systems for potable or non-potable water.,3
Design or select equipment for use in wastewater processing to ensure compliance with government standards.,3
Identify design alternatives for the development of new water resources.,3
"Design water or wastewater lift stations, including water wells.",3
"Perform hydraulic analyses of water supply systems or water distribution networks to model flow characteristics, test for pressure losses, or to identify opportunities to mitigate risks and improve operational efficiency.",3
Gather and analyze water use data to forecast water demand.,3
Design water storage tanks or other water storage facilities.,3
"Conduct cost-benefit analyses for the construction of water supply systems, runoff collection networks, water and wastewater treatment plants, or wastewater collection systems.",3
"Analyze and recommend chemical, biological, or other wastewater treatment methods to prepare water for industrial or domestic use.",3
"Review and critique proposals, plans, or designs related to water or wastewater treatment systems.",3
Write technical reports or publications related to water resources development or water use efficiency.,3
Design sludge treatment plants.,3
Conduct water quality studies to identify and characterize water pollutant sources.,3
Provide technical support on water resource or treatment issues to government agencies.,3
Analyze and recommend sludge treatment or disposal methods.,3
"Design water runoff collection networks, water supply channels, or water supply system networks.",3
"Perform hydrological analyses, using three-dimensional simulation software, to model the movement of water or forecast the dispersion of chemical pollutants in the water supply.",3
"Oversee the construction of decentralized or on-site wastewater treatment systems, including reclaimed water facilities.",3
Develop plans for new water resources or water efficiency programs.,3
"Analyze the efficiency of water delivery structures, such as dams, tainter gates, canals, pipes, penstocks, or cofferdams.",3
"Conduct environmental impact studies related to water and wastewater collection, treatment, or distribution.",3
"Perform mathematical modeling of underground or surface water resources, such as floodplains, ocean coastlines, streams, rivers, or wetlands.",3
"Maintain and apply knowledge of current policies, regulations, and industrial processes.",3
"Recommend process and product safety features that will reduce employees' exposure to chemical, physical, and biological work hazards.",3
"Inspect facilities, machinery, and safety equipment to identify and correct potential hazards, and to ensure safety regulation compliance.",3
"Install safety devices on machinery, or direct device installation.",3
"Investigate industrial accidents, injuries, or occupational diseases to determine causes and preventive measures.",3
Review plans and specifications for construction of new machinery or equipment to determine whether all safety requirements have been met.,3
"Report or review findings from accident investigations, facilities inspections, or environmental testing.",3
Interview employers and employees to obtain information about work environments and workplace incidents.,3
Evaluate adequacy of actions taken to correct health inspection violations.,3
Review employee safety programs to determine their adequacy.,3
"Conduct or direct testing of air quality, noise, temperature, or radiation levels to verify compliance with health and safety regulations.",3
"Conduct or coordinate worker training in areas such as safety laws and regulations, hazardous condition monitoring, and use of safety equipment.",3
Provide technical advice and guidance to organizations on how to handle health-related problems and make needed changes.,3
"Interpret safety regulations for others interested in industrial safety, such as safety engineers, labor representatives, and safety inspectors.",3
"Maintain liaisons with outside organizations, such as fire departments, mutual aid societies, and rescue teams, so that emergency responses can be facilitated.",3
Write and revise safety regulations and codes.,3
Confer with medical professionals to assess health risks and to develop ways to manage health issues and concerns.,3
"Compile, analyze, and interpret statistical data related to occupational illnesses and accidents.",3
Plan and conduct industrial hygiene research.,3
Check floors of plants to ensure that they are strong enough to support heavy machinery.,3
Design and build safety equipment.,3
"Advise architects, builders, and other construction personnel on fire prevention equipment and techniques, and on fire code and standard interpretation and compliance.",3
"Inspect buildings or building designs to determine fire protection system requirements and potential problems in areas such as water supplies, exit locations, and construction materials.",3
"Design fire detection equipment, alarm systems, and fire extinguishing devices and systems.",3
"Prepare and write reports detailing specific fire prevention and protection issues, such as work performed, revised codes or standards, and proposed review schedules.",3
Determine causes of fires and ways in which they could have been prevented.,3
"Direct the purchase, modification, installation, maintenance, and operation of fire protection systems.",3
"Develop plans for the prevention of destruction by fire, wind, and water.",3
Consult with authorities to discuss safety regulations and to recommend changes as necessary.,3
Study the relationships between ignition sources and materials to determine how fires start.,3
Develop training materials and conduct training sessions on fire protection.,3
Conduct research on fire retardants and the fire safety of materials and devices.,3
"Attend workshops, seminars, or conferences to present or obtain information regarding fire prevention and protection.",3
Evaluate fire department performance and the laws and regulations affecting fire prevention or fire safety.,3
"Investigate causes of accidents, injuries, or illnesses related to product usage to develop solutions to minimize or prevent recurrence.",3
Conduct research to evaluate safety levels for products.,3
Report accident investigation findings.,3
Evaluate product designs for safety.,3
"Recommend procedures for detection, prevention, and elimination of physical, chemical, or other product hazards.",3
Evaluate potential health hazards or damage that could occur from product misuse.,3
Participate in preparation of product usage and precautionary label instructions.,3
Provide expert testimony in litigation cases.,3
Develop industry standards of product safety.,3
Plan and establish sequence of operations to fabricate and assemble parts or products and to promote efficient utilization.,3
"Review production schedules, engineering specifications, orders, and related information to obtain knowledge of manufacturing methods, procedures, and activities.",3
"Estimate production costs, cost saving methods, and the effects of product design changes on expenditures for management review, action, and control.",3
"Draft and design layout of equipment, materials, and workspace to illustrate maximum efficiency using drafting tools and computer.",3
"Coordinate and implement quality control objectives, activities, or procedures to resolve production problems, maximize product reliability, or minimize costs.",3
Communicate with management and user personnel to develop production and design standards.,3
"Recommend methods for improving utilization of personnel, material, and utilities.",3
"Develop manufacturing methods, labor utilization standards, and cost analysis systems to promote efficient staff and facility utilization.",3
"Confer with clients, vendors, staff, and management personnel regarding purchases, product and production specifications, manufacturing capabilities, or project status.",3
"Apply statistical methods and perform mathematical calculations to determine manufacturing processes, staff requirements, and production standards.",3
"Study operations sequence, material flow, functional statements, organization charts, and project information to determine worker functions and responsibilities.",3
"Complete production reports, purchase orders, and material, tool, and equipment lists.",3
Record or oversee recording of information to ensure currency of engineering drawings and documentation of production problems.,3
Evaluate precision and accuracy of production and testing equipment and engineering drawings to formulate corrective action plan.,3
Analyze statistical data and product specifications to determine standards and establish quality and reliability objectives of finished product.,3
Regulate and alter workflow schedules according to established manufacturing sequences and lead times to expedite production operations.,3
"Direct workers engaged in product measurement, inspection, and testing activities to ensure quality control and reliability.",3
"Formulate sampling procedures and designs and develop forms and instructions for recording, evaluating, and reporting quality and reliability data.",3
"Implement methods and procedures for disposition of discrepant material and defective or damaged parts, and assess cost and responsibility.",3
"Schedule deliveries based on production forecasts, material substitutions, storage and handling facilities, and maintenance requirements.",3
"Design or evaluate human work systems, using human factors engineering and ergonomic principles to optimize usability, cost, quality, safety, or performance.",3
Collect data through direct observation of work activities or witnessing the conduct of tests.,3
"Conduct interviews or surveys of users or customers to collect information on topics such as requirements, needs, fatigue, ergonomics, or interfaces.",3
"Prepare reports or presentations summarizing results or conclusions of human factors engineering or ergonomics activities, such as testing, investigation, or validation.",3
"Recommend workplace changes to improve health and safety, using knowledge of potentially harmful factors, such as heavy loads or repetitive motions.",3
Assess the user-interface or usability characteristics of products.,3
"Review health, safety, accident, or worker compensation records to evaluate safety program effectiveness or to identify jobs with high incidents of injury.",3
"Perform functional, task, or anthropometric analysis, using tools such as checklists, surveys, videotaping or force measurement.",3
"Advocate for end users in collaboration with other professionals including engineers, designers, managers, or customers.",3
"Conduct research to evaluate potential solutions related to changes in equipment design, procedures, manpower, personnel, or training.",3
Integrate human factors requirements into operational hardware.,3
Train users in task techniques or ergonomic principles.,3
"Develop or implement research methodologies or statistical analysis plans to test and evaluate developmental prototypes used in new products or processes, such as cockpit designs, user workstations, or computerized human models.",3
Provide technical support to clients through activities such as rearranging workplace fixtures to reduce physical hazards or discomfort or modifying task sequences to reduce cycle time.,3
Inspect work sites to identify physical hazards.,3
"Analyze complex systems to determine potential for further development, production, interoperability, compatibility, or usefulness in a particular area, such as aviation.",3
"Develop or implement human performance research, investigation, or analysis protocols.",3
"Write, review, or comment on documents, such as proposals, test plans, or procedures.",3
"Apply modeling or quantitative analysis to forecast events, such as human decisions or behaviors, the structure or processes of organizations, or the attitudes or actions of human groups.",3
Establish system operating or training requirements to ensure optimized human-machine interfaces.,3
"Perform statistical analyses, such as social network pattern analysis, network modeling, discrete event simulation, agent-based modeling, statistical natural language processing, computational sociology, mathematical optimization, or systems dynamics.",3
Provide human factors technical expertise on topics such as advanced user-interface technology development or the role of human users in automated or autonomous sub-systems in advanced vehicle systems.,3
"Operate testing equipment, such as heat stress meters, octave band analyzers, motion analysis equipment, inclinometers, light meters, velometers, sling psychrometers, or colormetric detection tubes.",3
"Investigate theoretical or conceptual issues, such as the human design considerations of lunar landers or habitats.",3
Estimate time or resource requirements for ergonomic or human factors research or development projects.,3
"Design cognitive aids, such as procedural storyboards or decision support systems.",3
Supervise other engineers and crew members and train them for routine and emergency duties.,3
Perform monitoring activities to ensure that ships comply with international regulations and standards for life-saving equipment and pollution preventatives.,3
"Prepare plans, estimates, design and construction schedules, and contract specifications, including any special provisions.",3
"Check, test, and maintain automatic controls and alarm systems.",3
Evaluate operation of marine equipment during acceptance testing and shakedown cruises.,3
"Act as liaisons between ships' captains and shore personnel to ensure that schedules and budgets are maintained, and that ships are operated safely and efficiently.",3
"Conduct environmental, operational, or performance tests on marine machinery and equipment.",3
Inspect marine equipment and machinery to draw up work requests and job specifications.,3
"Prepare, or direct the preparation of, product or system layouts and detailed drawings and schematics.",3
"Maintain records of engineering department activities, including expense records and details of equipment maintenance and repairs.",3
Investigate and observe tests on machinery and equipment for compliance with standards.,3
Coordinate activities with regulatory bodies to ensure repairs and alterations are at minimum cost and consistent with safety.,3
"Design and oversee testing, installation, and repair of marine apparatus and equipment.",3
"Prepare technical reports for use by engineering, management, or sales personnel.",3
Procure materials needed to repair marine equipment and machinery.,3
"Maintain contact with, and formulate reports for, contractors and clients to ensure completion of work at minimum cost.",3
Maintain and coordinate repair of marine machinery and equipment for installation on vessels.,3
Confer with research personnel to clarify or resolve problems and to develop or modify designs.,3
"Determine conditions under which tests are to be conducted, as well as sequences and phases of test operations.",3
"Conduct analytical, environmental, operational, or performance studies to develop designs for products, such as marine engines, equipment, and structures.",3
Review work requests and compare them with previous work completed on ships to ensure that costs are economically sound.,3
Analyze data to determine feasibility of product proposals.,3
"Schedule machine overhauls and the servicing of electrical, heating, ventilation, refrigeration, water, and sewage systems.",3
Conduct stability analyses of ships.,3
"Design complete hull and superstructure according to specifications and test data, in conformity with standards of safety, efficiency, and economy.",3
"Study design proposals and specifications to establish basic characteristics of craft, such as size, weight, speed, propulsion, displacement, and draft.",3
"Oversee construction and testing of prototype in model basin and develop sectional and waterline curves of hull to establish center of gravity, ideal hull form, and buoyancy and stability data.",3
Evaluate performance of craft during dock and sea trials to determine design changes and conformance with national and international standards.,3
"Design layout of craft interior, including cargo space, passenger compartments, ladder wells, and elevators.",3
"Confer with marine engineering personnel to establish arrangement of boiler room equipment and propulsion machinery, heating and ventilating systems, refrigeration equipment, piping, and other functional equipment.",3
"Review new product plans and make recommendations for material selection, based on design objectives such as strength, weight, heat resistance, electrical conductivity, and cost.",3
"Supervise the work of technologists, technicians, and other engineers and scientists.",3
Analyze product failure data and laboratory test results to determine causes of problems and develop solutions.,3
Conduct or supervise tests on raw materials or finished products to ensure their quality.,3
"Plan and implement laboratory operations to develop material and fabrication procedures that meet cost, product specification, and performance standards.",3
Design and direct the testing or control of processing procedures.,3
Monitor material performance and evaluate material deterioration.,3
"Perform managerial functions, such as preparing proposals and budgets, analyzing labor costs, and writing reports.",3
"Plan and evaluate new projects, consulting with other engineers and corporate executives as necessary.",3
Guide technical staff in developing materials for specific uses in projected products or devices.,3
Evaluate technical specifications and economic factors relating to process or product design objectives.,3
"Modify properties of metal alloys, using thermal and mechanical treatments.",3
Determine appropriate methods for fabricating and joining materials.,3
"Solve problems in a number of engineering fields, such as mechanical, chemical, electrical, civil, nuclear, and aerospace.",3
"Supervise production and testing processes in industrial settings, such as metal refining facilities, smelting or foundry operations, or nonmetallic materials production operations.",3
Teach in colleges and universities.,3
Replicate the characteristics of materials and their components with computers.,3
Design processing plants and equipment.,3
"Write for technical magazines, journals, and trade association publications.",3
"Conduct training sessions on new material products, applications, or manufacturing methods for customers and their employees.",3
"Read and interpret blueprints, technical drawings, schematics, or computer-generated reports.",3
"Research, design, evaluate, install, operate, or maintain mechanical products, equipment, systems or processes to meet requirements.",3
"Confer with engineers or other personnel to implement operating procedures, resolve system malfunctions, or provide technical information.",3
"Develop, coordinate, or monitor all aspects of production, including selection of manufacturing methods, fabrication, or operation of product designs.",3
Investigate equipment failures or difficulties to diagnose faulty operation and recommend remedial actions.,3
"Develop or test models of alternate designs or processing methods to assess feasibility, sustainability, operating condition effects, potential new applications, or necessity of modification.",3
"Specify system components or direct modification of products to ensure conformance with engineering design, performance specifications, or environmental regulations.",3
Recommend design modifications to eliminate machine or system malfunctions.,3
"Assist drafters in developing the structural design of products, using drafting tools or computer-assisted drafting equipment or software.",3
"Oversee installation, operation, maintenance, or repair to ensure that machines or equipment are installed and functioning according to specifications.",3
"Conduct research that tests or analyzes the feasibility, design, operation, or performance of equipment, components, or systems.",3
Design test control apparatus or equipment or develop procedures for testing products.,3
Provide feedback to design engineers on customer problems or needs.,3
"Research and analyze customer design proposals, specifications, manuals, or other data to evaluate the feasibility, cost, or maintenance requirements of designs or applications.",3
"Estimate costs or submit bids for engineering, construction, or extraction projects.",3
Recommend the use of utility or energy services that minimize carbon footprints.,3
Evaluate mechanical designs or prototypes for energy performance or environmental impact.,3
"Direct the installation, operation, maintenance, or repair of renewable energy equipment, such as heating, ventilating, and air conditioning (HVAC) or water systems.",3
"Design integrated mechanical or alternative systems, such as mechanical cooling systems with natural ventilation systems, to improve energy efficiency.",3
"Apply engineering principles or practices to emerging fields, such as robotics, waste management, or biomedical engineering.",3
Write performance requirements for product development or engineering projects.,3
"Perform personnel functions, such as supervision of production workers, technicians, technologists, or other engineers.",3
"Calculate energy losses for buildings, using equipment such as computers, combustion analyzers, or pressure gauges.",3
Solicit new business.,3
Provide technical customer service.,3
"Study industrial processes to maximize the efficiency of equipment applications, including equipment placement.",3
"Establish or coordinate the maintenance or safety procedures, service schedule, or supply of materials required to maintain machines or equipment in the prescribed condition.",3
"Select or install combined heat units, power units, cogeneration equipment, or trigeneration equipment that reduces energy use or pollution.",3
"Conduct fuel cell testing projects, using fuel cell test stations, analytical instruments, or electrochemical diagnostics, such as cyclic voltammetry or impedance spectroscopy.",3
Design or implement fuel cell testing or development programs.,3
Write technical reports or proposals related to engineering projects.,3
"Plan or implement fuel cell cost reduction or product improvement projects in collaboration with other engineers, suppliers, support personnel, or customers.",3
"Validate design of fuel cells, fuel cell components, or fuel cell systems.",3
Define specifications for fuel cell materials.,3
"Plan or conduct experiments to validate new materials, optimize startup protocols, reduce conditioning time, or examine contaminant tolerance.",3
Calculate the efficiency or power output of a fuel cell system or process.,3
"Conduct post-service or failure analyses, using electromechanical diagnostic principles or procedures.",3
"Read current literature, attend meetings or conferences, or talk with colleagues to stay abreast of new technology or competitive products.",3
"Prepare test stations, instrumentation, or data acquisition systems for use in specific tests of fuel cell components or systems.",3
Develop fuel cell materials or fuel cell test equipment.,3
"Simulate or model fuel cell, motor, or other system information, using simulation software programs.",3
"Characterize component or fuel cell performances by generating operating maps, defining operating conditions, identifying design refinements, or executing durability assessments.",3
"Fabricate prototypes of fuel cell components, assemblies, stacks, or systems.",3
"Analyze fuel cell or related test data, using statistical software.",3
"Design fuel cell systems, subsystems, stacks, assemblies, or components, such as electric traction motors or power electronics.",3
Recommend or implement changes to fuel cell system designs.,3
Provide technical consultation or direction related to the development or production of fuel cell systems.,3
Develop or evaluate systems or methods of hydrogen storage for fuel cell applications.,3
"Evaluate the power output, system cost, or environmental impact of new hydrogen or non-hydrogen fuel cell system designs.",3
"Authorize release of fuel cell parts, components, or subsystems for production.",3
"Coordinate fuel cell engineering or test schedules with departments outside engineering, such as manufacturing.",3
Identify or define vehicle and system integration challenges for fuel cell vehicles.,3
"Manage fuel cell battery hybrid system architecture, including sizing of components, such as fuel cells, energy storage units, or electric drives.",3
Integrate electric drive subsystems with other vehicle systems to optimize performance or mitigate faults.,3
Conduct or direct system-level automotive testing.,3
Conduct automotive design reviews.,3
Develop engineering specifications or cost estimates for automotive design concepts.,3
Provide technical direction to other engineers or engineering support personnel.,3
"Perform failure, variation, or root cause analyses.",3
Establish production or quality control standards.,3
"Write, review, or maintain engineering documentation.",3
Prepare or present technical or project status reports.,3
"Design vehicles that use lighter materials, such as aluminum, magnesium alloy, or plastic, to improve fuel efficiency.",3
Alter or modify designs to obtain specified functional or operational performance.,3
"Coordinate production activities with other functional units, such as procurement, maintenance, or quality control.",3
"Design or analyze automobile systems in areas such as aerodynamics, alternate fuels, ergonomics, hybrid power, brakes, transmissions, steering, calibration, safety, or diagnostics.",3
Conduct research studies to develop new concepts in the field of automotive engineering.,3
"Research or implement green automotive technologies involving alternative fuels, electric or hybrid cars, or lighter or more fuel-efficient vehicles.",3
"Create design alternatives for vehicle components, such as camless or dual-clutch engines or alternative air-conditioning systems, to increase fuel efficiency.",3
"Develop calibration methodologies, test methodologies, or tools.",3
"Read current literature, attend meetings or conferences, or talk with colleagues to stay abreast of new automotive technology or competitive products.",3
"Calibrate vehicle systems, including control algorithms or other software systems.",3
"Design control systems or algorithms for purposes such as automotive energy management, emissions management, or increased operational safety or performance.",3
Develop or implement operating methods or procedures.,3
Develop or integrate control feature requirements.,3
Develop specifications for vehicles powered by alternative fuels or alternative power methods.,3
Build models for algorithm or control feature verification testing.,3
"Design vehicles for increased recyclability or use of natural, renewable, or recycled materials in vehicle construction.",3
"Research computerized automotive applications, such as telemetrics, intelligent transportation systems, artificial intelligence, or automatic control.",3
"Select locations and plan underground or surface mining operations, specifying processes, labor usage, and equipment that will result in safe, economical, and environmentally sound extraction of minerals and ores.",3
"Design, implement, and monitor the development of mines, facilities, systems, or equipment.",3
"Inspect mining areas for unsafe structures, equipment, and working conditions.",3
"Examine maps, deposits, drilling locations, or mines to determine the location, size, accessibility, contents, value, and potential profitability of mineral, oil, and gas deposits.",3
"Select or develop mineral location, extraction, and production methods, based on factors such as safety, cost, and deposit characteristics.",3
"Prepare technical reports for use by mining, engineering, and management personnel.",3
Monitor mine production rates to assess operational effectiveness.,3
"Prepare schedules, reports, and estimates of the costs involved in developing and operating mines.",3
"Lay out, direct, and supervise mine construction operations, such as the construction of shafts and tunnels.",3
"Devise solutions to problems of land reclamation and water and air pollution, such as methods of storing excavated soil and returning exhausted mine sites to natural states.",3
"Evaluate data to develop new mining products, equipment, or processes.",3
"Design, develop, and implement computer applications for use in mining operations such as mine design, modeling, or mapping or for monitoring mine conditions.",3
"Supervise, train, and evaluate technicians, technologists, survey personnel, engineers, scientists or other mine personnel.",3
"Select or devise materials-handling methods and equipment to transport ore, waste materials, and mineral products efficiently and economically.",3
"Implement and coordinate mine safety programs, including the design and maintenance of protective and rescue equipment and safety devices.",3
"Test air to detect toxic gases and recommend measures to remove them, such as installation of ventilation shafts.",3
Design mining and mineral treatment equipment and machinery in collaboration with other engineering specialists.,3
Conduct or direct mining experiments to test or prove research findings.,3
Initiate corrective actions or order plant shutdowns in emergency situations.,3
"Monitor nuclear facility operations to identify any design, construction, or operation practices that violate safety regulations and laws or that could jeopardize the safety of operations.",3
"Design or develop nuclear equipment, such as reactor cores, radiation shielding, or associated instrumentation or control mechanisms.",3
Examine accidents to obtain data that can be used to design preventive measures.,3
Direct operating or maintenance activities of operational nuclear power plants to ensure efficiency and conformity to safety standards.,3
"Recommend preventive measures to be taken in the handling of nuclear technology, based on data obtained from operations monitoring or from evaluation of test results.",3
Write operational instructions to be used in nuclear plant operation or nuclear fuel or waste handling and disposal.,3
"Conduct environmental studies related to topics such as nuclear power generation, nuclear waste disposal, or nuclear weapon deployment.",3
Direct environmental compliance activities associated with nuclear plant operations or maintenance.,3
"Prepare environmental impact statements, reports, or presentations for regulatory or other agencies.",3
"Prepare technical reports of findings or recommendations, based on synthesized analyses of test results.",3
"Develop or contribute to the development of plans to remediate or restore environments affected by nuclear radiation, such as waste disposal sites.",3
Conduct tests of nuclear fuel behavior and cycles or performance of nuclear machinery and equipment to optimize performance of existing plants.,3
Design or oversee construction or operation of nuclear reactors or power plants or nuclear fuels reprocessing and reclamation systems.,3
"Design or direct nuclear research projects to test or modify theoretical models, develop new theoretical models, or discover new uses for current models.",3
Design fuel cycle models or processes to reduce the quantity of radioactive waste generated from nuclear activities.,3
Consult with other scientists to determine parameters of experimentation or suitability of analytical models.,3
"Perform experiments that will provide information about acceptable methods of nuclear material usage, nuclear fuel reclamation, or waste disposal.",3
"Discuss construction project proposals with interested parties, such as vendors, contractors, or nuclear facility review boards.",3
Keep abreast of developments and changes in the nuclear field by reading technical journals or by independent study and research.,3
"Assess costs and estimate the production capabilities and economic value of oil and gas wells, to evaluate the economic viability of potential drilling sites.",3
"Develop plans for oil and gas field drilling, and for product recovery and treatment.",3
"Direct and monitor the completion and evaluation of wells, well testing, or well surveys.",3
Analyze data to recommend placement of wells and supplementary processes to enhance production.,3
"Monitor production rates, and plan rework processes to improve production.",3
Interpret drilling and testing information for personnel.,3
Specify and supervise well modification and stimulation programs to maximize oil and gas recovery.,3
Assist engineering and other personnel to solve operating problems.,3
"Confer with scientific, engineering, and technical personnel to resolve design, research, and testing problems.",3
"Coordinate the installation, maintenance, and operation of mining and oil field equipment.",3
Maintain records of drilling and production operations.,3
Write technical reports for engineering and management personnel.,3
Assign work to staff to obtain maximum utilization of personnel.,3
"Evaluate findings to develop, design, or test equipment or processes.",3
"Simulate reservoir performance for different recovery techniques, using computer models.",3
Design and implement environmental controls on oil and gas operations.,3
"Coordinate activities of workers engaged in research, planning, and development.",3
"Take samples to assess the amount and quality of oil, the depth at which resources lie, and the equipment needed to properly extract them.",3
"Supervise the removal of drilling equipment, the removal of any waste, and the safe return of land to structural stability when wells or pockets are exhausted.",3
Inspect oil and gas wells to determine that installations are completed.,3
Conduct engineering research experiments to improve or modify mining and oil machinery and operations.,3
"Design or modify mining and oil field machinery and tools, applying engineering principles.",3
Test machinery and equipment to ensure that it is safe and conforms to performance specifications.,3
Maintain databases of experiment characteristics or results.,3
"Read current scientific or trade literature to stay abreast of scientific, industrial, or technological advances.",3
Develop methodologies for transferring procedures or biological processes from laboratories to commercial-scale manufacturing production.,3
"Prepare technical reports, data summary documents, or research articles for scientific publication, regulatory submissions, or patent applications.",3
"Devise scalable recovery, purification, or fermentation processes for producing proteins or other biological substances for human or animal therapeutic use, food production or processing, biofuels, or effluent treatment.",3
Review existing manufacturing processes to identify opportunities for yield improvement or reduced process variation.,3
Develop recovery processes to separate or purify products from fermentation broths or slurries.,3
"Design or conduct follow-up experimentation, based on generated data, to meet established process objectives.",3
"Develop biocatalytic processes to convert biomass to fuels or fine chemicals, using enzymes of bacteria, yeast, or other microorganisms.",3
Confer with research and biomanufacturing personnel to ensure the compatibility of design and production.,3
"Design or conduct studies to determine optimal conditions for cell growth, protein production, or protein or virus expression or recovery, using chromatography, separation, or filtration equipment, such as centrifuges or bioreactors.",3
"Collaborate with manufacturing or quality assurance staff to prepare product specification or safety sheets, standard operating procedures, user manuals, or qualification and validation reports.",3
Communicate with bioregulatory authorities regarding licensing or compliance responsibilities.,3
"Develop bioremediation processes to reduce pollution, protect the environment, or treat waste products.",3
"Prepare project plans for biochemical equipment or facility improvements, including time lines, budgetary estimates, or capital spending requests.",3
"Advise manufacturing staff regarding problems with fermentation, filtration, or other bioproduction processes.",3
Design or direct bench or pilot production experiments to determine the scale of production methods that optimize product yield and minimize production costs.,3
"Communicate with suppliers regarding the design or specifications of bioproduction equipment, instrumentation, or materials.",3
Direct experimental or developmental activities at contracted laboratories.,3
Participate in equipment or process validation activities.,3
"Develop statistical models or simulations of biochemical production, using statistical or modeling software.",3
Consult with chemists or biologists to develop or evaluate novel technologies.,3
"Recommend biochemical process formulas, instrumentation, or equipment specifications, based on results of bench or pilot experimentation.",3
"Prepare piping or instrumentation diagrams or other schematics for proposed process improvements, using computer-aided design software.",3
Lead studies to examine or recommend changes in process sequences or operation protocols.,3
Develop experiments to determine production methods that minimize pollution or waste.,3
"Modify or control biological systems to replace, augment, or sustain chemical or mechanical processes.",3
Review existing biomanufacturing processes to ensure compliance with environmental regulations.,3
"Create simulations or models to predict the impact of environmental factors, such as pollutants, climate change, or environmental remediation efforts.",3
Develop toxicological or environmental testing processes to measure chemical toxicity or environmental impact.,3
"Design products to measure or monitor airborne pollutants, such as carbon monoxide, nitrogen dioxide, ozone, or particulate matter.",3
"Develop processes or products, such as natural recovery monitoring, in situ capping or treatment, or sediment removal, to treat contamination of subaqueous sediment.",3
"Develop alternative processes to produce crude oil, such as extraction from diatoms or thermochemical conversion of manure or other wastes.",3
Collaborate in the development or delivery of biochemical manufacturing training materials.,3
Design processes to manufacture synthetic molecules for applications such as pharmaceuticals or pesticides.,3
Analyze validation test data to determine whether systems or processes have met validation criteria or to identify root causes of production problems.,3
"Prepare validation or performance qualification protocols for new or modified manufacturing processes, systems, or equipment for production of pharmaceuticals, electronics, or other products.",3
Coordinate the implementation or scheduling of validation testing with affected departments and personnel.,3
Study product characteristics or customer requirements and confer with management to determine validation objectives and standards.,3
"Create, populate, or maintain databases for tracking validation activities, test results, or validated systems.",3
"Prepare, maintain, or review validation and compliance documentation, such as engineering change notices, schematics, or protocols.",3
Resolve testing problems by modifying testing methods or revising test objectives and standards.,3
"Prepare detailed reports or design statements, based on results of validation and qualification tests or reviews of procedures and protocols.",3
Identify deviations from established product or process standards and provide recommendations for resolving deviations.,3
